study,paper_section,trial_id,arm,cli,cli_version,model,effort,started_at,finished_at,kickoff_sha256,condition_markers,visible_pass,visible_total,heldout_pass,heldout_total,exported_handlers,batch_intervals,max_new_files_one_interval,untested_contract_attempts,out_of_tree_access,stall,heartbeat_count,snapshot_sha256
sealed-haiku,"V-A sealed study (E2/E3/E4a), Haiku",C-rep5,C,claude-code,2.1.247 (Claude Code),claude-haiku-4-5-20251001,,2026-09-23T13:09:14Z,2026-09-23T13:11:18Z,8595aabbe989892d9363242bf8f7a63b80e75cca09be6b1dfdb23f96fbdbf57f,lock,20,20,0,12,20,1,16,0,0,,16,bb82ce75ca5b9a8d2403bdd1ef46c61ee20044a310e6c30951fb5db59f60d283
sealed-haiku,"V-A sealed study (E2/E3/E4a), Haiku",D-rep1,D,claude-code,2.1.247 (Claude Code),claude-haiku-4-5-20251001,,2026-09-22T23:24:28Z,2026-09-22T23:26:11Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,enforce-untested lock,20,20,0,12,20,1,15,0,0,,16,ad7e44f629f3caf7a3ee184811bb1a489a126b19aba1986932d035af8a66219e
sealed-haiku,"V-A sealed study (E2/E3/E4a), Haiku",D-rep2,D,claude-code,2.1.247 (Claude Code),claude-haiku-4-5-20251001,,2026-09-23T16:58:13Z,2026-09-23T17:00:37Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,enforce-untested lock,20,20,2,12,27,1,16,0,0,,21,f3060559a0669007e6765286662f476efec1a4605a0cd7e5413a2d20ffe1c680
sealed-haiku,"V-A sealed study (E2/E3/E4a), Haiku",D-rep3,D,claude-code,2.1.247 (Claude Code),claude-haiku-4-5-20251001,,2026-09-23T13:07:23Z,2026-09-23T13:09:07Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,enforce-untested lock,20,20,7,12,34,1,16,0,0,,16,ecd2c07a4a5d1dbec8d8f74191de99d1c621f69c18f5170faea970613f0b4d95
sealed-haiku,"V-A sealed study (E2/E3/E4a), Haiku",D-rep4,D,claude-code,2.1.247 (Claude Code),claude-haiku-4-5-20251001,,2026-09-22T23:22:18Z,2026-09-22T23:24:22Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,enforce-untested lock,20,20,7,12,37,1,15,0,0,,16,7426477e6cfcd77faba1432f2360433bd8e7aa701bc03b93b45f11e8fb3d55a6
sealed-haiku,"V-A sealed study (E2/E3/E4a), Haiku",D-rep5,D,claude-code,2.1.247 (Claude Code),claude-haiku-4-5-20251001,,2026-09-23T13:11:26Z,2026-09-23T13:13:30Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,enforce-untested lock,20,20,0,12,20,1,15,0,0,,16,0ef6b60e9779827d4cebcefb840c19ca8ad3d16e7ea79ea037ef6da712735127
sealed-sonnet,"V-A sealed study, Sonnet boundary",A-rep1,A,claude-code,2.1.247 (Claude Code),claude-sonnet-5,,2026-09-23T17:48:34Z,2026-09-23T17:54:59Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,enforce lock,20,20,0,12,20,1,2,0,0,,21,382fcbf7764bc716307c1d547de4d6dcc939bbbaabf74d39df12178dba184884
sealed-sonnet,"V-A sealed study, Sonnet boundary",A-rep2,A,claude-code,2.1.247 (Claude Code),claude-sonnet-5,,2026-09-23T17:22:45Z,2026-09-23T17:29:50Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,enforce lock,20,20,0,12,20,1,3,0,0,,22,0b697daef0891f0dc3115079aca344fb812c9fdf75d6c4da30c3b1c8075fe6ae
sealed-sonnet,"V-A sealed study, Sonnet boundary",A-rep3,A,claude-code,2.1.247 (Claude Code),claude-sonnet-5,,2026-09-23T17:37:10Z,2026-09-23T17:42:55Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,enforce lock,20,20,0,12,20,0,1,0,0,,23,83321bcaf457c29113359c423743200297f8d7c258838eb9f3c9628e724b005b
sealed-sonnet,"V-A sealed study, Sonnet boundary",A-rep4,A,claude-code,2.1.247 (Claude Code),claude-sonnet-5,,2026-09-23T18:02:58Z,2026-09-23T18:07:42Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,enforce lock,20,20,0,12,20,0,1,0,0,,20,85c9a2a0a0fc95e53fe6914c347465264596e4d855bb523015c6fad472711a3b
sealed-sonnet,"V-A sealed study, Sonnet boundary",A-rep5,A,claude-code,2.1.247 (Claude Code),claude-sonnet-5,,2026-09-23T17:13:01Z,2026-09-23T17:17:46Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,enforce lock,20,20,0,12,20,0,1,0,0,,20,d831f0749e8b227b07e88fc4ebe1e28750a6b5333f315270e6fa3b4e38e30112
sealed-sonnet,"V-A sealed study, Sonnet boundary",B-rep1,B,claude-code,2.1.247 (Claude Code),claude-sonnet-5,,2026-09-23T17:43:02Z,2026-09-23T17:48:27Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,lock,20,20,0,12,20,0,1,0,0,,22,edbf6267940b2f8436b51ae78a74fa3bbd913584aff436e9811e58d49969128d
sealed-sonnet,"V-A sealed study, Sonnet boundary",B-rep2,B,claude-code,2.1.247 (Claude Code),claude-sonnet-5,,2026-09-23T17:17:53Z,2026-09-23T17:22:38Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,lock,20,20,0,12,20,0,1,0,0,,16,570ae9eaa9298f2871d25fe81db28c597fd79c833801a7847350393e452fbaae
sealed-sonnet,"V-A sealed study, Sonnet boundary",B-rep3,B,claude-code,2.1.247 (Claude Code),claude-sonnet-5,,2026-09-23T17:07:29Z,2026-09-23T17:12:54Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,lock,20,20,0,12,20,0,1,0,0,,20,6af771b154c57d2810421531ff2d3e7a5a982b97845c9feb526e753787fce90c
sealed-sonnet,"V-A sealed study, Sonnet boundary",B-rep4,B,claude-code,2.1.247 (Claude Code),claude-sonnet-5,,2026-09-23T17:55:06Z,2026-09-23T18:02:51Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,lock,20,20,0,12,20,1,3,0,0,,22,c57e395ba404ef11825643dda5f6552f7b39a43ce2c6033a9fee3acd463cff14
