study,paper_section,trial_id,arm,cli,cli_version,model,effort,started_at,finished_at,kickoff_sha256,condition_markers,visible_pass,visible_total,heldout_pass,heldout_total,exported_handlers,batch_intervals,max_new_files_one_interval,untested_contract_attempts,out_of_tree_access,stall,heartbeat_count,snapshot_sha256
leakage-fixed-duskframe,"Table II leakage-fixed, App. D (first leakage batch overwritten by this re-run)",without-rep5,,claude-code,,,,,,,,2,2,1,1,,,,0,,,6,
crosscli-opencode-muse,V-B muse-spark runs,with-rep1,,opencode,,,,,,,enforce,,,,,,,,,,,,
crosscli-opencode-muse,V-B muse-spark runs,with-rep1-muse12,,opencode,,,,,,,enforce,,,,,,,,,,,,
crosscli-opencode-muse,V-B muse-spark runs,with-rep1-muse12-run2,,opencode,,,,,,,enforce,,,,,,,,,,,,
crosscli-opencode-muse,V-B muse-spark runs,with-rep1-muse12-run3,,opencode,,,,,,,enforce,,,,,,,,,,,,
crosscli-opencode-muse,V-B muse-spark runs,with-rep2,,opencode,,,,,,,enforce,,,,,,,,,,,,
crosscli-opencode-muse,V-B muse-spark runs,without-rep1,,opencode,,,,,,,,,,,,,,,,,,,
crosscli-codex-web,V-B Codex runs,with-rep1,,codex,,,,,,,enforce,20,20,0,7,,,,0,,,68,
crosscli-codex-web,V-B Codex runs,without-rep1,,codex,,,,,,,,20,20,0,7,,,,0,,,67,
crosscli-codex-gpt55,V-B gpt-5.5,with-rep1,,codex,,,,,,,enforce,20,20,0,7,,,,0,,,73,
crosscli-codex-gpt55,V-B gpt-5.5,without-rep1,,codex,,,,,,,,20,20,0,7,,,,0,,,53,
crosscli-codex-sol-with,V-B gpt-5.6-sol enforced,with-rep1,,codex,,,,,,,enforce,20,20,0,7,,,,0,,,68,
crosscli-codex-sol-with,V-B gpt-5.6-sol enforced,without-rep1,,codex,,,,,,,,,,,,,,,,,,,
crosscli-codex-sol-without,V-B gpt-5.6-sol unenforced,with-rep1,,codex,,,,,,,enforce,20,20,0,7,,,,0,,,68,
crosscli-codex-sol-without,V-B gpt-5.6-sol unenforced,without-rep1,,codex,,,,,,,,20,20,0,7,,,,0,,,67,
crosscli-codex-terra-without,V-B gpt-5.6-terra,with-rep1,,codex,,,,,,,enforce,,,,,,,,,,,,
crosscli-codex-terra-without,V-B gpt-5.6-terra,without-rep1,,codex,,,,,,,,20,20,0,7,,,,0,,,67,
astra-diagnostic-with,App. C diagnostic grid,with-rep1,,codex,,,,,,,enforce,1,1,0,12,,,,0,,,7,
astra-diagnostic-with,App. C diagnostic grid,without-rep1,,codex,,,,,,,,,,,,,,,,,,,
astra-diagnostic-without,App. C diagnostic grid,with-rep1,,codex,,,,,,,enforce,1,1,0,12,,,,0,,,7,
astra-diagnostic-without,App. C diagnostic grid,without-rep1,,codex,,,,,,,,0,20,0,12,,,,0,,,3,
astra-diagnostic-effort,App. C diagnostic grid (effort),with-rep1,,codex,,,,,,,enforce,,,,,,,,,,,,
astra-diagnostic-effort,App. C diagnostic grid (effort),with-rep1-max,,codex,,,,,,,enforce,,,,,,,,,,,,
astra-diagnostic-effort,App. C diagnostic grid (effort),with-rep1-ultra,,codex,,,,,,,enforce,,,,,,,,,,,,
astra-diagnostic-effort,App. C diagnostic grid (effort),with-rep1-xhigh,,codex,,,,,,,enforce,,,,,,,,,,,,
astra-diagnostic-effort,App. C diagnostic grid (effort),without-rep1,,codex,,,,,,,,,,,,,,,,,,,
astra-diagnostic-effort,App. C diagnostic grid (effort),without-rep1-max,,codex,,,,,,,,,,,,,,,,,,,
astra-diagnostic-effort,App. C diagnostic grid (effort),without-rep1-ultra,,codex,,,,,,,,,,,,,,,,,,,
astra-diagnostic-effort,App. C diagnostic grid (effort),without-rep1-xhigh,,codex,,,,,,,,,,,,,,,,,,,
astra-clarified-exploratory,App. C two exploratory reruns,with-rep1,,codex,,,,,,,enforce,,,,,,,,,,,,
astra-clarified-exploratory,App. C two exploratory reruns,with-rep2,,codex,,,,,,,enforce,,,,,,,,,,,,
reasoning-control-gpt55,V-B reasoning controls,with-rep1-high,,codex,,,,,,,enforce,,,,,,,,,,,,
reasoning-control-sol,V-B reasoning controls,with-rep1-high,,codex,,,,,,,enforce,,,,,,,,,,,,
reasoning-control-terra,V-B reasoning controls,with-rep1-high,,codex,,,,,,,enforce,,,,,,,,,,,,
madeline-astra,Madeline on Codex/Astra (findings log),with-rep1,,codex,,,,,,,enforce,,,,,,,,,,,,
madeline-strong-reps,"Madeline N=5 (findings log only, not in paper)",rep1,,claude-code,,,,,,,enforce,7,7,0,1,,,,0,,,10,
madeline-strong-reps,"Madeline N=5 (findings log only, not in paper)",rep2,,claude-code,,,,,,,enforce,7,7,0,1,,,,0,,,16,
madeline-strong-reps,"Madeline N=5 (findings log only, not in paper)",rep3,,claude-code,,,,,,,enforce,7,7,1,1,,,,0,,,13,
madeline-strong-reps,"Madeline N=5 (findings log only, not in paper)",rep4,,claude-code,,,,,,,enforce,7,7,0,1,,,,0,,,12,
madeline-strong-reps,"Madeline N=5 (findings log only, not in paper)",rep5,,claude-code,,,,,,,enforce,7,7,0,1,,,,0,,,11,
madeline-two-tier,Madeline two-tier re-run (findings log),rep-haiku,,claude-code,,,,,,,,,,,,,,,,,,,
madeline-two-tier,Madeline two-tier re-run (findings log),rep-sonnet,,claude-code,,,,,,,,,,,,,,,,,,,
catchandtrade-fresh-spec,V-G timed cost pair (dossier arm = with-rep1; without-rep1 incomplete),with-rep1,,claude-code,,,,,,,enforce,24,24,0,7,,,,0,,,30,
catchandtrade-fresh-spec,V-G timed cost pair (dossier arm = with-rep1; without-rep1 incomplete),without-rep1,,claude-code,,,,,,,,,,,,,,,,,,,
subagent-verify,SubagentStop self-report verifier prototype (findings log only),rep1,,claude-code,,,,,,,enforce,20,20,0,7,,,,0,,,18,
